"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","209","testCreateUser","RegressionSuite","Fri Sep 26 19:14:35 UTC 2025","passed","Fri Sep 26 19:14:35 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testCreateUser"
"Test successful user login with valid credentials","0","testValidUserLogin","RegressionSuite","Fri Sep 26 19:14:40 UTC 2025","skipped","Fri Sep 26 19:14:40 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testValidUserLogin"
"Verify all main navigation links are present and functional","1","testNavigationLinksPresence","RegressionSuite","Fri Sep 26 19:14:40 UTC 2025","skipped","Fri Sep 26 19:14:40 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testNavigationLinksPresence"
"","204","testUpdatePost","RegressionSuite","Fri Sep 26 19:14:35 UTC 2025","passed","Fri Sep 26 19:14:35 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testUpdatePost"
"Test flight link navigation and page verification","0","testFlightLinkNavigation","RegressionSuite","Fri Sep 26 19:14:40 UTC 2025","skipped","Fri Sep 26 19:14:40 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testFlightLinkNavigation"
"Verify that the Guru99 homepage loads correctly and title is displayed","0","testHomePageTitle","RegressionSuite","Fri Sep 26 19:14:40 UTC 2025","skipped","Fri Sep 26 19:14:40 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testHomePageTitle"
"Test page refresh and title consistency","1","testPageRefreshConsistency","RegressionSuite","Fri Sep 26 19:14:40 UTC 2025","skipped","Fri Sep 26 19:14:40 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testPageRefreshConsistency"
"","89","testGetNonExistentUser","RegressionSuite","Fri Sep 26 19:14:35 UTC 2025","passed","Fri Sep 26 19:14:35 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetNonExistentUser"
"","145","testDeletePost","RegressionSuite","Fri Sep 26 19:14:35 UTC 2025","passed","Fri Sep 26 19:14:35 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testDeletePost"
"","1","setUp","RegressionSuite","Fri Sep 26 19:14:40 UTC 2025","broken","Fri Sep 26 19:14:40 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","setUp"
"","1768","testGetSingleUser","RegressionSuite","Fri Sep 26 19:14:33 UTC 2025","passed","Fri Sep 26 19:14:35 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetSingleUser"
"","1828","testGetUsersList","RegressionSuite","Fri Sep 26 19:14:33 UTC 2025","passed","Fri Sep 26 19:14:35 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetUsersList"
